id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured
1028232,146,55,1885,158.11,159.11,0,0
1127204,146,55,1993,160.11,159.11,0,0
1212707,146,55,2539,157.14,159.14,0,0
1082698,146,55,2631,162.02,162.02,0,0
1400926,146,55,1248,163.93,163.93,0,0
1284113,146,55,1778,190.15,190.15,0,0
1197966,146,55,1062,191.09,192.09,0,0
1132739,146,55,2707,242.56,240.56,0,0
1057981,146,55,1207,360.9,360.9,0,0
1095932,146,55,1230,383.18,384.18,0,0
1454421,146,55,2322,389.0,390.0,0,0
1149765,146,55,2290,302.64,303.64,0,0
1166964,146,55,1727,466.63,465.63,0,0
1010949,146,55,1109,309.43,310.43,0,0
1409575,146,55,2577,320.13,320.13,0,1
1181616,146,55,2640,319.13,319.13,0,0
1456020,146,55,2826,377.33,379.33,0,0
1264395,146,55,1754,329.86,329.86,0,0
1472931,146,55,1971,344.35,344.35,0,0
1412015,146,55,1198,135.8,190.18,0,0
1461229,146,55,1311,184.36,228.01,0,0
1014564,146,55,1803,190.18,243.53,0,0
1485914,146,55,1558,562.6,562.6,0,0
1345389,146,55,2581,563.6,563.6,0,0
1006833,146,55,1962,562.6,563.6,0,0
1174921,146,55,2444,726.53,727.53,0,0
1175393,146,55,2867,726.53,727.53,0,0
1152412,146,55,1525,320.13,319.13,0,0
1497398,146,55,2704,320.13,321.13,0,0
1363486,146,55,2492,388.03,387.03,0,0
1366766,146,55,1543,486.03,484.03,0,0
1192413,146,55,2304,486.03,484.03,0,0
1319547,146,55,2664,312.34,312.34,0,0
1337684,146,55,2569,312.34,314.34,0,0
1479766,146,55,2490,290.03,292.03,0,0
1460444,146,24,1885,158.11,160.11,0,1
1139730,146,24,1993,160.11,159.11,0,0
1115056,146,24,2539,158.14,157.14,0,0
1335827,146,24,2139,291.03,292.03,0,0
1385333,146,24,1778,193.06,192.06,0,0
1096323,146,24,1062,192.09,192.09,0,0
1230693,146,24,2707,237.68,236.68,0,0
1027016,146,24,1207,361.81,361.81,0,0
1181520,146,24,1230,389.0,389.0,0,0
1306234,146,24,2322,383.15,384.15,0,0
1271440,146,24,2290,302.64,304.64,0,0
1269834,146,24,1727,466.63,464.63,0,0
1176823,146,24,1109,309.43,309.43,0,0
1193098,146,24,1571,640.23,639.23,0,0
1034878,146,24,2956,640.23,640.23,0,0
1010243,146,24,2577,319.13,321.13,0,0
1451807,146,24,2640,319.13,321.13,0,0
1016845,146,24,1878,320.13,319.13,0,0
1198021,146,24,2306,243.5,335.62,1,0
1413802,146,24,1216,436.56,436.56,0,0
1231223,146,24,2126,486.03,486.03,0,0
1274226,146,24,2826,377.33,378.33,0,0
1425142,146,24,1754,334.71,334.71,0,0
1211593,146,24,1971,350.2,350.2,0,0
1419190,146,24,1902,447.23,446.23,0,0
1180223,146,24,1770,426.83,484.03,0,0
1194932,146,24,1198,228.01,228.01,0,0
1323477,146,24,1311,154.23,195.03,0,0
1371595,146,24,1803,179.45,215.4,0,0
1171521,146,24,1438,195.0,194.0,0,0
1052384,146,24,2494,196.0,194.0,0,0
1060921,146,24,1847,194.0,194.0,0,0
1261811,146,24,1558,562.6,562.6,0,0
1246502,146,24,2581,564.6,564.6,0,0
1497466,146,24,1962,558.72,560.72,0,0
1232717,146,24,1445,728.53,727.53,0,0
1136112,146,24,2867,728.53,728.53,0,0
1196334,146,24,2760,162.99,241.53,0,1
1349533,146,24,1525,320.13,320.13,0,0
1463406,146,24,2704,319.13,321.13,0,0
1447686,146,24,1543,486.03,484.03,0,0
1336105,146,24,2304,486.03,486.03,0,0
1012855,146,24,2664,311.43,311.43,0,0
1180646,146,24,2569,320.1,320.1,0,0
1062490,146,24,2490,292.03,290.03,0,0
1098228,146,11,1885,158.17,157.17,0,0
1101375,146,11,1993,159.14,159.14,0,0
1400016,146,11,2539,159.11,158.11,0,0
1439889,146,11,2139,291.03,292.03,0,0
1408468,146,11,2631,165.93,163.93,0,0
1044490,146,11,1248,163.93,164.93,0,0
1290002,146,11,1778,181.45,181.45,0,0
1190633,146,11,1062,179.48,180.48,0,0
1040430,146,11,2707,236.68,236.68,0,0
1049366,146,11,1207,389.0,390.0,0,0
1224120,146,11,1230,368.63,367.63,0,0
1293810,146,11,2322,379.3,378.3,0,0
1197335,146,11,2290,303.64,304.64,0,0
1323989,146,11,1727,466.63,464.63,0,0
1129467,146,11,1109,311.43,310.43,0,0
1229328,146,11,1571,639.23,641.23,0,0
1164395,146,11,2956,639.23,640.23,0,0
1217722,146,11,2577,320.13,321.13,0,0
1171266,146,11,2640,320.13,320.13,0,0
1024905,146,11,1878,320.13,321.13,0,1
1343027,146,11,2306,234.74,337.62,1,0
1141892,146,11,1216,436.56,436.56,0,0
1302404,146,11,2126,435.53,486.03,0,0
1170447,146,11,2826,377.33,378.33,0,0
1140772,146,11,1754,327.86,328.86,0,0
1103484,146,11,1971,345.35,346.35,0,0
1387134,146,11,1902,445.23,447.23,0,0
1117711,146,11,1247,445.23,446.23,0,0
1472121,146,11,1770,427.83,485.03,0,0
1289523,146,11,1198,191.09,220.22,0,0
1091114,146,11,1311,206.64,207.64,0,0
1043572,146,11,1803,183.33,206.61,0,0
1103283,146,11,1438,194.0,195.0,0,1
1265051,146,11,2494,195.0,195.0,0,1
1168741,146,11,1847,194.0,194.0,0,1
1052776,146,11,1558,562.6,563.6,0,0
1206564,146,11,2581,564.6,562.6,0,0
1302153,146,11,1962,558.72,560.72,0,0
1083754,146,11,1445,727.53,727.53,0,0
1097952,146,11,2444,728.53,727.53,0,0
1251605,146,11,2867,727.53,726.53,0,0
1333032,146,11,2760,161.99,243.53,0,1
1086936,146,11,1525,319.13,321.13,0,0
1088412,146,11,2704,319.13,320.13,0,0
1236400,146,11,2492,389.03,387.03,0,0
1244516,146,11,1543,486.03,486.03,0,0
1380381,146,11,2304,486.03,484.03,0,0
1495062,146,11,2664,305.61,303.61,0,0
1439647,146,11,2569,314.34,314.34,0,0
1019214,146,11,2490,290.03,290.03,0,0
1316160,146,83,1885,142.59,143.59,0,0
1022008,146,83,1993,142.59,142.59,0,0
1138248,146,83,2539,144.59,142.59,0,0
1052922,146,83,2139,292.03,290.03,0,0
1181474,146,83,2631,137.74,139.74,0,0
1046475,146,83,1248,154.26,153.26,0,0
1216688,146,83,1778,157.17,157.17,0,0
1067565,146,83,1062,159.14,157.14,0,0
1008328,146,83,2707,208.61,207.61,0,0
1430287,146,83,1207,352.11,352.11,0,0
1406716,146,83,1230,362.81,363.81,0,0
1105380,146,83,2322,354.11,353.11,0,0
1248694,146,83,2290,298.79,298.79,0,0
1252163,146,83,1727,447.23,447.23,0,0
1443474,146,83,1109,310.43,311.43,0,0
1033716,146,83,1571,581.03,581.03,0,0
1300295,146,83,2956,581.03,581.03,0,0
1311882,146,83,2104,581.03,581.03,0,0
1257968,146,83,2577,319.13,319.13,0,0
1226362,146,83,2640,320.13,321.13,0,0
1030655,146,83,1878,321.13,320.13,0,0
1210527,146,83,2306,242.53,336.62,1,0
1278927,146,83,1216,413.25,414.25,0,0
1232239,146,83,2126,437.53,509.31,0,0
1133067,146,83,2826,327.92,326.92,0,0
1382522,146,83,1754,328.83,330.83,0,0
1219136,146,83,1971,328.86,327.86,0,0
1498130,146,83,1902,446.23,445.23,0,0
1251629,146,83,1247,447.23,446.23,0,0
1032092,146,83,1770,426.83,486.03,0,0
1249865,146,83,1558,557.78,558.78,0,0
1207630,146,83,2581,559.69,559.69,0,0
1144733,146,83,1962,563.63,561.63,0,0
1436768,146,83,1445,726.53,728.53,0,0
1148964,146,83,2867,728.53,727.53,0,0
1237346,146,83,2760,184.36,261.93,0,1
1206015,146,83,1525,320.13,319.13,0,0
1105113,146,83,2704,319.13,319.13,0,0
1430481,146,83,2492,456.93,455.93,0,0
1001589,146,83,1543,473.39,483.09,0,1
1224132,146,83,2304,452.08,484.09,0,1
1074380,146,83,2664,322.07,321.07,0,0
1097109,146,83,2569,293.0,292.0,0,0
1211246,146,83,2490,290.03,290.03,0,0
1390579,146,32,1885,122.28,121.28,0,0
1473058,146,32,1993,119.31,119.31,0,0
1186964,146,32,2539,118.34,119.34,0,0
1222837,146,32,2139,275.54,274.54,0,0
1342393,146,32,2631,139.71,138.71,0,0
1170472,146,32,1778,159.14,157.14,0,0
1170791,146,32,1062,160.11,158.11,0,0
1046653,146,32,2707,202.76,201.76,0,0
1195179,146,32,1207,363.75,365.75,0,0
1332509,146,32,1230,363.75,364.75,0,0
1438300,146,32,2322,359.9,359.9,0,0
1435748,146,32,2290,259.96,260.96,0,0
1052668,146,32,1727,423.95,423.95,0,0
1227060,146,32,1109,309.43,309.43,0,0
1342252,146,32,1571,583.03,581.03,0,0
1143109,146,32,2956,583.03,582.03,0,0
1394807,146,32,2104,582.03,582.03,0,0
1448374,146,32,2577,320.13,319.13,0,0
1028680,146,32,2640,321.13,320.13,0,0
1079691,146,32,1878,319.13,320.13,0,0
1402079,146,32,1216,418.13,416.13,0,0
1424446,146,32,2126,435.53,508.31,0,1
1133297,146,32,2826,327.92,325.92,0,0
1076214,146,32,1754,292.03,290.03,0,0
1173823,146,32,1971,290.06,291.06,0,0
1488584,146,32,1902,446.23,447.23,0,0
1072892,146,32,1247,445.23,447.23,0,0
1277491,146,32,1770,426.83,485.03,0,0
1290868,146,32,1558,512.19,513.19,0,0
1048888,146,32,2581,512.19,511.19,0,0
1138141,146,32,1962,513.19,513.19,0,0
1473125,146,32,1445,728.53,727.53,0,0
1196726,146,32,2444,727.53,728.53,0,0
1179278,146,32,2867,727.53,726.53,0,0
1282305,146,32,2760,184.36,261.93,0,0
1359903,146,32,1525,319.13,320.13,0,0
1355143,146,32,2704,319.13,321.13,0,0
1095889,146,32,2492,447.23,447.23,0,0
1250665,146,32,1543,446.26,444.26,0,0
